repositorio,gerenciador,pacote,versao,escopo,arquivo
bedin-api,composer,api-skeletons/zf-oauth2-doctrine-console,^2.0,prod,composer.json
bedin-api,composer,api-skeletons/zf-oauth2-doctrine-permissions-acl,^2.0,prod,composer.json
bedin-api,composer,aws/aws-sdk-php-zf2,^3.0 || ^4.0,prod,composer.json
bedin-api,composer,beberlei/doctrineextensions,^1.2,prod,composer.json
bedin-api,composer,bushbaby/zf-oauth2-doctrine-mutatetablenames,^0.5,prod,composer.json
bedin-api,composer,doctrine/doctrine-orm-module,^2.1,prod,composer.json
bedin-api,composer,ext-intl,*,prod,composer.json
bedin-api,composer,jms/serializer,^1.13,prod,composer.json
bedin-api,composer,php,^7.3.0,prod,composer.json
bedin-api,composer,slm/mail,^2.1,prod,composer.json
bedin-api,composer,symfony/yaml,^4.1,prod,composer.json
bedin-api,composer,zendframework/zend-cache,^2.8,prod,composer.json
bedin-api,composer,zendframework/zend-component-installer,^1.1.1 || ^2.1.1,prod,composer.json
bedin-api,composer,zendframework/zend-developer-tools,^1.2.1,dev,composer.json
bedin-api,composer,zendframework/zend-filter,2.8.0,prod,composer.json
bedin-api,composer,zendframework/zend-i18n-resources,^2.6,prod,composer.json
bedin-api,composer,zendframework/zend-log,^2.10,prod,composer.json
bedin-api,composer,zendframework/zend-mail,^2.10,prod,composer.json
bedin-api,composer,zendframework/zend-mvc-console,^1.2,prod,composer.json
bedin-api,composer,zendframework/zend-mvc-i18n,^1.1,prod,composer.json
bedin-api,composer,zendframework/zend-serializer,^2.9,prod,composer.json
bedin-api,composer,zendframework/zend-test,^2.6.1 || ^3.2,dev,composer.json
bedin-api,composer,zfcampus/zf-apigility,^1.4,prod,composer.json
bedin-api,composer,zfcampus/zf-apigility-admin,^1.6,dev,composer.json
bedin-api,composer,zfcampus/zf-apigility-documentation,^1.3,prod,composer.json
bedin-api,composer,zfcampus/zf-asset-manager,^1.2,dev,composer.json
bedin-api,composer,zfcampus/zf-composer-autoloading,^1.1.1 || ^2.1,dev,composer.json
bedin-api,composer,zfcampus/zf-deploy,^1.3,dev,composer.json
bedin-api,composer,zfcampus/zf-development-mode,^3.2,prod,composer.json
bedin-api,composer,zfcampus/zf-http-cache,^1.4,prod,composer.json
bedin-api,composer,zfr/zfr-cors,^1.5,prod,composer.json
bedin-painel,npm,@casl/ability,^3.2.0,prod,package.json
bedin-painel,npm,@casl/react,^1.0.4,prod,package.json
bedin-painel,npm,@date-io/moment,^1.3.11,prod,package.json
bedin-painel,npm,@devexpress/dx-react-core,^1.11.2,prod,package.json
bedin-painel,npm,@devexpress/dx-react-scheduler,^1.11.2,prod,package.json
bedin-painel,npm,@devexpress/dx-react-scheduler-material-ui,^1.11.2,prod,package.json
bedin-painel,npm,@material-ui/core,^4.4.3,prod,package.json
bedin-painel,npm,@material-ui/icons,^4.4.3,prod,package.json
bedin-painel,npm,@react-pdf/renderer,^1.6.6,prod,package.json
bedin-painel,npm,@rowno/sparkline,^3.0.1,prod,package.json
bedin-painel,npm,@toast-ui/react-calendar,^1.0.4,prod,package.json
bedin-painel,npm,ajv,^6.10.2,prod,package.json
bedin-painel,npm,antd,^3.23.5,prod,package.json
bedin-painel,npm,axios,^0.21.1,prod,package.json
bedin-painel,npm,babel-plugin-transform-decorators-legacy,^1.3.4,dev,package.json
bedin-painel,npm,bootstrap,^4.3.1,prod,package.json
bedin-painel,npm,chart.js,^2.9.4,prod,package.json
bedin-painel,npm,chartist,^0.10.1,prod,package.json
bedin-painel,npm,chartist-plugin-tooltip,^0.0.11,prod,package.json
bedin-painel,npm,classnames,^2.2.5,prod,package.json
bedin-painel,npm,connected-react-router,^6.5.2,dev,package.json
bedin-painel,npm,d3-dsv,^1.1.1,prod,package.json
bedin-painel,npm,d3-format,^1.4.1,prod,package.json
bedin-painel,npm,d3-scale,^1.0.7,prod,package.json
bedin-painel,npm,d3-time-format,^2.1.1,prod,package.json
bedin-painel,npm,dfa,1.1.0,prod,package.json
bedin-painel,npm,dotenv,^6.2.0,prod,package.json
bedin-painel,npm,draft-js,^0.11.7,prod,package.json
