repositorio,caminho,extensao,tamanho_bytes,sha256,status_git,classificacao,decisao,justificativa
sigo-clinicas-api,.git/config,,355,a0080bdf7428961807e7316645502593af6ecf17bfb20b506a93b5ad4d1e1e51,git-internal,sem-extensão,excluded,interno do controle de versão Git (histórico/hooks/packs)
sigo-clinicas-api,.git/description,,73,85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee,git-internal,sem-extensão,excluded,interno do controle de versão Git (histórico/hooks/packs)
sigo-clinicas-api,.git/HEAD,,24,8dd7e69cf77bff3e6717335270c85d60f7aee7f9e917566d94e0afd8c9d31317,git-internal,sem-extensão,excluded,interno do controle de versão Git (histórico/hooks/packs)
sigo-clinicas-api,.git/hooks/applypatch-msg.sample,.sample,478,0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7,git-internal,sample,excluded,interno do controle de versão Git (histórico/hooks/packs)
sigo-clinicas-api,.git/hooks/commit-msg.sample,.sample,1972,efc1401b0e99d1ff51494d154d98b46c1e99059bcd8bf9f73cecde19fd3eb23b,git-internal,sample,excluded,interno do controle de versão Git (histórico/hooks/packs)
sigo-clinicas-api,.git/hooks/fsmonitor-watchman.sample,.sample,4611,9159720099ad5595b8e66645cbfd47763c1e920f46e0b50ae75e642bbec57ef0,git-internal,sample,excluded,interno do controle de versão Git (histórico/hooks/packs)
sigo-clinicas-api,.git/hooks/post-update.sample,.sample,189,81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5,git-internal,sample,excluded,interno do controle de versão Git (histórico/hooks/packs)
sigo-clinicas-api,.git/hooks/pre-applypatch.sample,.sample,424,e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475,git-internal,sample,excluded,interno do controle de versão Git (histórico/hooks/packs)
sigo-clinicas-api,.git/hooks/pre-commit.sample,.sample,1649,57185b7b9f05239d7ab52db045f5b89eb31348d7b2177eab214f5eb872e1971b,git-internal,sample,excluded,interno do controle de versão Git (histórico/hooks/packs)
sigo-clinicas-api,.git/hooks/pre-merge-commit.sample,.sample,416,d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53,git-internal,sample,excluded,interno do controle de versão Git (histórico/hooks/packs)
