repositorio,caminho,extensao,tamanho_bytes,sha256,status_git,classificacao,decisao,justificativa
sigo-clinicas-api,.dockerignore,,1393,196f9175d92aa8f2a0aa07a9f08d19a5af849f0e798c5e21e2c8f7ab16324e11,tracked,sem-extensão,full-content,conteúdo integral incluído
sigo-clinicas-api,.gitignore,,1244,06726576ebf31d2dac48ed144d5f0be71a333933efa5cedf716fb2ee4b1f122e,tracked,sem-extensão,full-content,conteúdo integral incluído
sigo-clinicas-api,.gitlab-ci.yml,.yml,1860,b16f898c8be73c0b2bb4f16e2ca020f216c02546f5968f314dc322ce7cf17ce9,tracked,YAML,full-content,conteúdo integral incluído
sigo-clinicas-api,.idea/codeStyles/codeStyleConfig.xml,.xml,153,23127062ded0ba48daab729209d30f0121e6c93b0ee72352b097756462a5a7c3,tracked,XML,full-content,conteúdo integral incluído
sigo-clinicas-api,.idea/composerJson.xml,.xml,310,a28a3ec7fa61128cdac6b4032e3bbd829f7385ff71ed695a603eed41df57bbeb,tracked,XML,full-content,conteúdo integral incluído
sigo-clinicas-api,.idea/encodings.xml,.xml,237,4c2c5b893dbfa438623b0ee1466e860aef41e9cfa1c366206e45715352e56674,tracked,XML,full-content,conteúdo integral incluído
sigo-clinicas-api,.idea/modules.xml,.xml,291,42f6528a991d536d34e4e3fbc6119109872227e78c886c5416feeb55d41f8e84,tracked,XML,full-content,conteúdo integral incluído
sigo-clinicas-api,.idea/php.xml,.xml,11100,e933a026763964ccb998050a8690df9542de768761b7d495cd7310e83176b7dd,tracked,XML,full-content,conteúdo integral incluído
sigo-clinicas-api,.idea/sigoclinicas-api.iml,.iml,13687,64a6ff921b9f9d16416458b82aa8539bbcf99bee168e97a60022a4a3b53e0543,tracked,iml,full-content,conteúdo integral incluído
sigo-clinicas-api,.idea/vcs.xml,.xml,185,136f8b0a20e3e16f5b60e8505219c34746e1ec62c68433f4f8ec97eefe3aa038,tracked,XML,full-content,conteúdo integral incluído
sigo-clinicas-api,assets/mysql/dump.sql,.sql,35379,70f1b7bd438306ac08f4d7b5c7bd44adf5ff8ae0675bea207dff11dfc9018c47,tracked,SQL,full-content,conteúdo integral incluído (com valores sensíveis redigidos)
sigo-clinicas-api,assets/postman/Clientes.postman_collection.json,.json,12145,2df23d8acb8824b14b805494399642def8fcabbfb10e813596c527dbf610b804,tracked,JSON,full-content,conteúdo integral incluído
sigo-clinicas-api,assets/postman/ClinicaServicos.postman_collection.json,.json,11526,39e6dd37a1b1f19755ae095060d440785ab21f0468212fa0a390681fa8a9ea7d,tracked,JSON,full-content,conteúdo integral incluído
sigo-clinicas-api,assets/postman/Financeiros.postman_collection.json,.json,31382,a9b4765f8dbc86a41f77bc2240bf67262c2f61c2eb0fc4d9fce78ed06b7b780f,tracked,JSON,full-content,conteúdo integral incluído
sigo-clinicas-api,assets/postman/FinanceirosCategorias.postman_collection.json,.json,14337,3655f020fb5d71b9b2e029e9abf840b0bc1177a3261246b0256e7a29ccc2d77f,tracked,JSON,full-content,conteúdo integral incluído
sigo-clinicas-api,assets/postman/Local.postman_environment.json,.json,1511,b2129702760ce17790990ed40b7a02bfc07ca90c6acfffeebd590d97af84ee4a,tracked,JSON,full-content,conteúdo integral incluído
sigo-clinicas-api,assets/postman/Orçamentos.postman_collection.json,.json,11638,21ceac47254f53758f0626bd143eb62ce31fdf63ae34ac4ac8d71c2acc95060a,tracked,JSON,full-content,conteúdo integral incluído
sigo-clinicas-api,assets/postman/OrçamentosServicos.postman_collection.json,.json,5772,5892f47a4fdb202e4f219668815d7b8d7a86b026afaca208e5994a2c257228b5,tracked,JSON,full-content,conteúdo integral incluído
sigo-clinicas-api,assets/postman/Profissionais.postman_collection.json,.json,21116,446b32040fa066bf128e3e249a26af17684ef8881775a750ad03061fc83e3c2b,tracked,JSON,full-content,conteúdo integral incluído
