repositorio,caminho,extensao,tamanho_bytes,sha256,status_git,classificacao,decisao,justificativa
sigo-clinicas-api,public/img/ag-hero.png,.png,19869,92d5775292f1e579d993812c7f092e077ae91c618fdeb1c99680780f016bc95c,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-api,public/img/favicon.png,.png,1670,956b73222ab10306445bf89cedc9f82ad34259d6e8beb9c33211d3633836190c,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/favicon.ico,.ico,1150,230398ce1e3df7738fe3f5b10a55f7d583d6ad8ffd272137206bb6cdc32c3bc3,tracked,ico,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/icon-180x180.png,.png,8243,8fbbe030d4ab3d724711ad58102293bb2e869d0e0afb5a53989254b6db09727d,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/icon-192x192.png,.png,6790,d8bd731f97fd839be5e0c729e6533313bea17f50c513da31c325edbe329b17a1,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/icon-256x256.png,.png,6913,7cdcbe523b99c85e128364781d17e7327f2d8362f24a768bcf923ae056346aeb,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/icon-384x384.png,.png,16442,8183317a2b7e77d02c073e0d3e28655a26708edc423615516faa3c8038ec0aea,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/icon-512x512.png,.png,16252,6e8623e5464adda65a24350875a0074ffbb068eb1fbf3cfb86241af26dccd81d,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/maskable_icon.png,.png,26496,dac529720da26a90820594ce273d3985e5603ee7112a8a21b906c20fe4470420,tracked,png,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/fonts/font-awesome/css/font-awesome.min.css,.css,31004,820e169ce24824066d9973fd4b6561aae9dcd6dbef6435da905d5a1d6482997c,tracked,CSS,metadata-only,biblioteca de terceiros vendorizada/minificada ou source map — conteúdo não autoral e reconstituível
sigo-clinicas-painel,public/resources/fonts/font-awesome/fonts/fontawesome-webfont.eot,.eot,165742,7bfcab6db99d5cfbf1705ca0536ddc78585432cc5fa41bbd7ad0f009033b2979,tracked,eot,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/fonts/font-awesome/fonts/fontawesome-webfont.ttf,.ttf,165548,aa58f33f239a0fb02f5c7a6c45c043d7a9ac9a093335806694ecd6d4edc0d6a8,tracked,ttf,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/fonts/font-awesome/fonts/fontawesome-webfont.woff,.woff,98024,ba0c59deb5450f5cb41b3f93609ee2d0d995415877ddfa223e8a8a7533474f07,tracked,woff,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/fonts/font-awesome/fonts/fontawesome-webfont.woff2,.woff2,77160,2adefcbc041e7d18fcf2d417879dc5a09997aa64d675b7a3c4b6ce33da13f3fe,tracked,woff2,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/fonts/font-awesome/fonts/FontAwesome.otf,.otf,134808,444dd4366615ffc4a16d012b2fa90137065d3ccb410fa6fd5e4ddd7b5e4ffcd5,tracked,otf,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/fonts/font-icomoon/fonts/icomoon.eot,.eot,95836,6833c46cdc99a2113cf8b62082abf1f405b9424bc1d47c99c1ecd5c6f5d9583a,tracked,eot,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/fonts/font-icomoon/fonts/icomoon.ttf,.ttf,95672,820c68b6102757c790fea4cb81225a6836aee2d8d0e150ed3c37260267de03ee,tracked,ttf,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/fonts/font-icomoon/fonts/icomoon.woff,.woff,95748,7a7f020a472c61a4363437ecc90ebe3de2e132f1a940f4b7c8e048a89a4be9fb,tracked,woff,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/fonts/font-linearicons/fonts/Linearicons-Free.eot,.eot,55820,9da5ace70c6225aaccf1c798737b70519f066e2a94df2f7b15b2c5df4a3a0f14,tracked,eot,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/fonts/font-linearicons/fonts/Linearicons-Free.ttf,.ttf,55620,47c047ffa124fbeb2a516c2441134729de2591465687a509029d498a8262c050,tracked,ttf,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/fonts/font-linearicons/fonts/Linearicons-Free.woff,.woff,55696,bf1694791b58019367c4bdfcbc4e85e9b2fc02e460b720cc1c9c0bcbe0bd4779,tracked,woff,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/fonts/font-linearicons/fonts/Linearicons-Free.woff2,.woff2,21780,296945e5922e764eef17b1b4a3ee3e60dc202b3c7f074150b62158915bf74e33,tracked,woff2,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/fonts/GothamBoldRegular.ttf,.ttf,66028,1ba5deee5ba7db155c23554705e9b9c812389d03060531e310e9b70bc4be800b,tracked,ttf,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/fonts/GothamBook.ttf,.ttf,56676,742359d475131a75ff057224151c7b384ef0b89556212709a5e34a9409983876,tracked,ttf,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/images/amazon.jpg,.jpg,24365,a9a73b89d5d6cd89eef885c9b68357ac7f968d17c3f90395f12871e97fe4ffd7,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/images/avatar.jpg,.jpg,2562,a85140ea0b23984b5d0f89eac45f2bdb1dbf51697a272cae197e32de7da44282,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/images/avatars/1.jpg,.jpg,13298,2ee12d7db9dc7863f94a1a7246c8695d5df70f12f12e47ca30b8c9b08d726442,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/images/avatars/2.jpg,.jpg,15592,47eaef3588fe3d1e889d0e7d53dfe4f9ff46275b63702d643c2b7f957591e9f9,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/images/avatars/3.jpg,.jpg,13140,d85f2b91655a6859820b97c8ffe49a178cd2253db08764ba09c3bd4571aa7611,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
sigo-clinicas-painel,public/resources/images/avatars/4.jpg,.jpg,12285,3998a4b6621fb429f9175d4ee006f0352c41e11557d5d63d4b3a3b1de3810d0c,tracked,jpg,metadata-only,arquivo binário/não-textual — representado por hash e metadados
